0,56.20517418032788%
1,54.56102715163935%
2,38.1195568647541%
3,45.57825307377049%
4,23.485527663934423%
5,26.52567879098361%
6,31.390881147540984%
7,29.785156250000007%
8,40.23277407786885%
9,48.029264856557376%
0,56.20517418032788%
1,55.47355276639344%
2,62.08696209016394%
3,59.57671618852459%
4,56.904777151639344%
5,55.04130379098361%
6,52.158043032786885%
7,47.71068135245902%
8,46.27625512295082%
9,46.30987448770492%
layer error KNN,48.31262807377049%
calculated error KNN,53.875832479508205%
