0,47.18070652173913%
1,55.97826086956521%
2,42.3233695652174%
3,51.97010869565217%
4,60.52989130434783%
5,60.903532608695656%
6,67.42527173913044%
7,75.33967391304348%
8,83.3899456521739%
9,78.02309782608695%
0,47.18070652173913%
1,52.17391304347826%
2,52.95516304347826%
3,54.61956521739131%
4,55.6046195652174%
5,55.3328804347826%
6,70.78804347826086%
7,80.4008152173913%
8,84.5788043478261%
9,84.64673913043478%
