0,65.19841269841268%
1,52.619047619047635%
2,36.904761904761905%
3,67.61904761904762%
4,39.84126984126984%
5,52.063492063492056%
6,62.06349206349206%
7,56.26984126984127%
8,54.44444444444444%
9,41.11111111111111%
10,46.74603174603174%
layer error KNN,69.28571428571428%
calculated error KNN,70.63492063492063%
